id;first_name;last_name;email;phone_number;hire_date
1;Arlie;Bahringer;Freddie_Schaefer@hotmail.com;producer;2023-12-04T02:27:28
2;Leonel;Stokes;Conner_Bechtelar70@gmail.com;questioningly incidentally likely;2023-12-04T07:55:39
3;Jerrod;Kreiger;Armani89@gmail.com;coverall horseradish prickly;2023-12-03T10:54:50
4;Devante;Kuphal;Ward84@hotmail.com;traumatic lazily finally;2023-12-04T04:45:31
5;Sim;Gorczany;Angeline_Huel76@yahoo.com;conscious as;2023-12-03T18:03:23
6;Nadia;Grant-Ernser;Joyce23@yahoo.com;off but;2023-12-03T20:25:26
7;Pearlie;Christiansen;Jennie_Murphy17@gmail.com;provided;2023-12-04T06:26:06
8;Shanelle;Tillman;Tyreek_Waelchi@gmail.com;euphoric unwieldy faithfully;2023-12-03T17:47:19
9;Justyn;Schuppe;Cameron_Morar43@gmail.com;like;2023-12-04T02:49:54
10;Sheila;Lindgren;Johnathan.Boyle@yahoo.com;direct pro now;2023-12-03T19:39:50
